バギーが食べた、体をバラバラにすることができる悪魔の実は何の実でしょう？,バラバラ
スクラッチメン・アプーが食べた、体の各所を楽器に変え、そこから発する音で攻撃することができる悪魔の実は何の実でしょう？,オトオト
ボア・ハンコックが食べた、相手を魅了し、石にすることができる悪魔の実は何の実でしょう？,メロメロ
マゼランが食べた、体中から猛毒を分泌することができる悪魔の実は何の実でしょう？,ドクドク
エンポリオ・イワンコフが食べた、生体ホルモンを指先から注入し、対象の生物を変化させることができる悪魔の実は何の実でしょう？,ホルホル
イナズマが食べた、腕をハサミに変え、物を紙のように切り取ることができる悪魔の実は何の実でしょう？,チョキチョキ
白ひげことエドワード・ニューゲートことが食べた、振動を発生させ、地震を引き起こすことができる悪魔の実は何の実でしょう？,グラグラ
ジョズが食べた、体をダイヤモンドに変えることができる悪魔の実は何の実でしょう？,キラキラ
ブラメンコが食べた、体にポケットを作り出し、物を収納することができる悪魔の実は何の実でしょう？,ポケポケ
つるが食べた、あらゆるものを洗濯物のように洗い、干すことができる悪魔の実は何の実でしょう？,ウォシュウォ
バンダー・デッケン九世が食べた、手のひらで触れてメモリーした相手を、いついかなる場所からでも的と定めて狙うことができる悪魔の実は何の実でしょう？,マトマト
錦えもんが食べた、衣服を作り出すことができる悪魔の実は何の実でしょう？,フクフク
ベビー5が食べた、体を武器に変えることができる悪魔の実は何の実でしょう？,ブキブキ
バッファローが食べた、体をプロペラのように回転させることができる悪魔の実は何の実でしょう？,グルグル
藤虎が食べた、重力を操ることができる悪魔の実は何の実でしょう？,ズシズシ
バルトロメオが食べた、バリアを作り出すことができる悪魔の実は何の実でしょう？,バリバリ
レオが食べた、あらゆるものを縫い付けることができる悪魔の実は何の実でしょう？,ヌイヌイ
ヴィオラが食べた、千里眼を使うことができる悪魔の実は何の実でしょう？,ギロギロ
ジョーラが食べた、人や物を芸術（アート）作品に変えることができる悪魔の実は何の実でしょう？,アトアト
ケリー・ファンクが食べた、体をジャケットに変えることができる悪魔の実は何の実でしょう？,ジャケジャケ
「ピーカ軍」幹部のグラディウスが食べた、自身の体および触れた無機物を破裂させることができる悪魔の実は何の実でしょう？,パムパム
トレーボルが食べた、体から粘液を出すことができる悪魔の実は何の実でしょう？,ベタベタ
シュガーが食べた、触れた生物をオモチャに変えることができる悪魔の実は何の実でしょう？,ホビホビ
セニョール・ピンクが食べた、壁や地面を泳ぐことができる悪魔の実は何の実でしょう？,スイスイ
マッハバイスが食べた、自分の体重をトン単位で変えることができる悪魔の実は何の実でしょう？,トントン
ディアマンテが食べた、自分の体や触れた物を旗のようにはためかせることができる悪魔の実は何の実でしょう？,ヒラヒラ
ピーカが食べた、触れた岩石と同化することができる悪魔の実は何の実でしょう？,イシイシ
黒炭カン十郎が食べた、描いた絵を実体化させることができる悪魔の実は何の実でしょう？,フデフデ
コラソンが食べた、音を消したり、周囲の音を聞こえなくすることができる悪魔の実は何の実でしょう？,ナギナギ
マンシェリーが食べた、生物の傷を治癒させることができる悪魔の実は何の実でしょう？,チユチユ
マザー・カルメルが食べた、魂（ソウル）を操ることができる悪魔の実は何の実でしょう？,ソルソル
シャーロット・ブリュレが食べた、鏡を生み出すことができる悪魔の実は何の実でしょう？,ミラミラ
シャーロット・ペロスペローが食べた、キャンディを生み出し、操ることができる悪魔の実は何の実でしょう？,ペロペロ
シャーロット・クラッカーが食べた、ビスケットを生み出し、操ることができる悪魔の実は何の実でしょう？,ビスビス
シャーロット・ガレットが食べた、バターを操ることができる悪魔の実は何の実でしょう？,バタバタ
シャーロット・モンドールが食べた、本を操ることができる悪魔の実は何の実でしょう？,ブクブク
シャーロット・オペラが食べた、生クリームを生み出し、操ることができる悪魔の実は何の実でしょう？,クリクリ
シャーロット・スムージーが食べた、人や物から水分を搾り取ることができる悪魔の実は何の実でしょう？,シボシボ
シャーロット・プリンが食べた、人の記憶を書き換えることができる悪魔の実は何の実でしょう？,メモメモ
シャーロット・カタクリが食べた、体をモチに変えることやモチを生み出し操ることができる悪魔の実は何の実でしょう？,モチモチ
シャーロット・ダイフクが食べた、体から魔人を召喚することができる悪魔の実は何の実でしょう？,ホヤホヤ
シャーロット・オーブンが食べた、体から高熱を発することができる悪魔の実は何の実でしょう？,ネツネツ
シュトロイゼンが食べた、あらゆる物を食材に変えることができる悪魔の実は何の実でしょう？,クククク
シャーロット・ニューシが食べた、他人と合体することができる悪魔の実は何の実でしょう？,ゴチャゴチャ
モーリーが食べた、様々な物を壊さず押しのけることができる悪魔の実は何の実でしょう？,オシオシ
ベロ・ベティが食べた、鼓舞した相手の内なる力を呼び起こすことができる悪魔の実は何の実でしょう？,コブコブ
お玉が食べた、頬からきびだんごを生み出し、食べさせた動物を手懐けることができる悪魔の実は何の実でしょう？,キビキビ
光月トキが食べた、自身や他人を未来へ飛ばすことができる悪魔の実は何の実でしょう？,トキトキ
しのぶが食べた、触れたものを腐敗させることができる悪魔の実は何の実でしょう？,ジュクジュク
雷ぞうが食べた、あらゆるものを巻物に封じ込めることができる悪魔の実は何の実でしょう？,マキマキ
スモーカーが食べた、煙になれ煙を操ることができる悪魔の実は何の実でしょう？,モクモク
クロコダイルが食べた、砂になれ砂を操ることができる悪魔の実は何の実でしょう？,スナスナ
サボとポートガス・D・エースが食べた、炎になれ炎を操ることができる悪魔の実は何の実でしょう？,メラメラ
エネルが食べた、雷になれ雷を操ることができる悪魔の実は何の実でしょう？,ゴロゴロ
青雉クザンが食べた、氷になれ氷を操ることができる悪魔の実は何の実でしょう？,ヒエヒエ
黒ひげことマーシャル・D・ティーチが食べた、闇になれ闇を操ることができる悪魔の実は何の実でしょう？,ヤミヤミ
黄猿ボルサリーノが食べた、光になれ光を操ることができる悪魔の実は何の実でしょう？,ピカピカ
赤犬サカズキが食べた、マグマになれマグマを操ることができる悪魔の実は何の実でしょう？,マグマグ
カリブーが食べた、沼になれ沼を操ることができる悪魔の実は何の実でしょう？,ヌマヌマ
シーザー・クラウンが食べた、ガスになれガスを操ることができる悪魔の実は何の実でしょう？,ガスガス
モネが食べた、雪になれ雪を操ることができる悪魔の実は何の実でしょう？,ユキユキ
トニートニー・チョッパーが食べた、人間に変身できる悪魔の実は何でしょう？,ヒトヒト
カブやビアンが食べた、昆虫に変身できる悪魔の実は何でしょう？,ムシムシ
クイーンやX・ドレークが食べた、恐竜に変身できる悪魔の実は何でしょう？,リュウリュウ
ジャックが食べたゾウゾウの実は何モデルでしょう？,マンモス
センゴクやトニートニー・チョッパーが食べたのは、何の実でしょう？,ヒトヒト
センゴクが食べたヒトヒトの実は何モデルでしょう？,大仏
ボア・サンダーソニアとボア・マリーゴールドが食べた動物系の悪魔の実は何の実でしょう？,ヘビヘビ
カイドウが食べたウオウオの実は、何という龍をモデルにしたものでしょう？,青龍
ササキが食べたリュウリュウの実は、何モデルでしょう？,トリケラトプス
ボア・サンダーソニアが食べたヘビヘビの実は、何モデルでしょう？,アナコンダ
ボア・マリーゴールドが食べたヘビヘビの実は、何モデルでしょう？,キングコブラ
ペコムズが食べた動物系の悪魔の実は、何の実でしょう？,カメカメ
カブが食べたムシムシの実は、何モデルでしょう？,カブトムシ
ビアンが食べたムシムシの実は、何モデルでしょう？,スズメバチ
不死鳥（フェニックス）に変身するマルコが食べた実は何でしょう？,トリトリの実
劇場版「RED」で登場するウタが食べた、自分の歌声を聞いた者を仮想空間「ウタワールド」に引き込むことができる悪魔の実は何でしょう？,ウタウタ
ゴロゴロの実やヒエヒエの実など、三種の中では最も希少である自然物へ変化し操れる悪魔の実は何系でしょう？,ロギア
不死鳥のマルコや大仏のセンゴクなどの悪魔の実である、動物系の中でも伝説の動物に変身できる希少な種は何種でしょう？,幻獣
悪魔の実は「動物(ゾオン)系」「自然(ロギア)系」ともう1つは何系でしょう？,パラミシア
悪魔の実は「超人(パラミシア)系」「自然(ロギア)系」ともう1つは何系でしょう？,ゾオン
悪魔の実は「超人(パラミシア)系」「動物(ゾオン)系」ともう1つは何系でしょう？,ロギア
マンモスのジャックやパキケファロサウルスのウルティなどの悪魔の実である、動物系の中でも珍しい絶滅した動物に変身できる種は何種でしょう？,古代種
カイドウが食べた動物系の悪魔の実は、何でしょう？,ウオウオ
サラマンダーになるスマイリーが食べた悪魔の実は、何の実でしょう？,サラサラ
サラマンダーになるスマイリーが食べたサラサラの実は、何モデルでしょう？,アホロートル
カタリーナ・デボンやヤマトが食べた幻獣種の悪魔の実は、何の実でしょう？,イヌイヌ
黒炭オロチが食べた幻獣種のヘビヘビの実は、何モデルでしょう？,ヤマタノオロチ
ヘビヘビの実で、三女のボア・マリーゴールドはキングコブラモデルですが、次女のボア・サンダーソニアは何モデルでしょう？,アナコンダ
ヘビヘビの実で、次女のボア・サンダーソニアはアナコンダモデルですが、三女のボア・マリーゴールドが食べたヘビヘビの実は、何モデルでしょう？,キングコブラ
日本語では「アホウドリ」と言われる、モルガンズが食べたトリトリの実は何モデルでしょう？,アルバトロス
日本語では隼と言われる、ペルが食べたトリトリの実は何モデルでしょう？,ファルコン
野牛（バイソン）	ドルトン
日本語では「キリン」という、カクが食べたウシウシの実は何モデルでしょう？,ジラフ
キリンに変身するCP9が食べたカクの悪魔の実は、何の実でしょう？,ウシウシ
CP9のカクとドルトンが食べた悪魔の実は、何の実でしょう?,ウシウシ
ドルトンが食べたウシウシの実は、何モデルでしょう？,バイソン
日本語では豹という、ロブ・ルッチが食べたネコネコの実は、何モデルでしょう?,レオパルド
アニメオリジナルである、アピスが食べた動物と会話することができる悪魔の実は、何の実でしょう？,ヒソヒソ
アニメオリジナルである、エリックが食べたカマイタチを作り出すことができる悪魔の実は、何の実でしょう？,カマカマ
アニメオリジナルで登場するドン・アッチーノが体から最高1万度の高熱を発することができる悪魔の実は、何の実でしょう？,アツアツ
テレビアニメである、ラルゴが食べた、粘着性の網をだしたり網を操る悪魔の実は何の実でしょう？,アミアミ
テレビアニメである、リリー・エンストマックが食べた、自分の体を小さくすることができる悪魔の実は何の実でしょう？,ミニミニ
テレビアニメである、ビルが食べた、体を溶鉱炉に変えたり体内で鉱物を加工することができる悪魔の実は何の実でしょう？,グツグツ
テレビアニメである、アベロンが食べた、体をトロッコに変えることができる悪魔の実は何の実でしょう？,コロコロ
テレビアニメである、ブリードが食べた、生物を自分のペットにし、操ることができる悪魔の実は何の実でしょう？,ペトペト
テレビアニメである、バーンディ・ワールドが食べた、触れた物の大きさ・速さを100倍まで高められる悪魔の実は何の実でしょう？,モアモア
テレビアニメである、ガイラムが食べた、どんな物でもキューブ状にでき操れる悪魔の実は何の実でしょう？,キュブキュブ
テレビアニメである、マッド・トレジャーが食べた、体から鎖を出すことができる悪魔の実は何の実でしょう？,ジャラジャラ
テレビアニメである、サイコ・Pが食べた、スプレーで色付けした人や物を周りと同化させることができる悪魔の実は何の実でしょう？,イロイロ
劇場版『ONE PIECE』で登場するエルドラゴが食べた、大声を光線にして発射できる悪魔の実は何の実でしょう？,ゴエゴエ
劇場版『ねじまき島の冒険』で登場するベアキングが食べた、体を鋼鉄のように硬くして加熱もできる悪魔の実は何の実でしょう？,カチカチ
劇場版『デッドエンドの冒険』で登場するガスパーデが食べた、体を水飴状にすることができる悪魔の実は何の実でしょう？,アメアメ
劇場版『エピソードオブチョッパー+』で登場するムッシュールが食べた、毒キノコの胞子を体から生み出し操ることができる悪魔の実は何の実でしょう？,ノコノコ
日本語では「鷲」という、劇場版『麦わらチェイス』で登場するバズが食べたトリトリの実は何モデルでしょう？,イーグル
劇場版『STRONG WORLD』の空とぶ海賊「金獅子のシキ」が食べた、自在に自分や物体を浮遊できる悪魔の実は何でしょう？,フワフワ
劇場版『Z』で登場するアインが食べた、対象の時間を12時間戻す悪魔の実は何の実でしょう？,モドモド
劇場版『GOLD』で登場するギルド・テゾーロが食べた、金を操ることができる悪魔の実は何の実でしょう？,ゴルゴル
劇場版『GOLD』で登場するバカラが食べた、触れた相手の運気を吸い取り自分の運気を上げることができる悪魔の実は何でしょう？,ラキラキ
劇場版『GOLD』で登場するタナカさんが食べた、無機物をすり抜けることができる悪魔の実は何の実でしょう？,ヌケヌケ
劇場版『STAMPEDE』で登場するアンが食べた、触れたものを幻影として出現させることができる悪魔の実は何の実でしょう？,ビジョビジョ
劇場版『STAMPEDE』で登場するダグラス・バレットが食べた、触れた無機物を合体させ変形させることができる悪魔の実は何の実でしょう？,ガシャガシャ
ゲームでのみ登場するノコが食べた、笛を奏で相手を眠らせ思い通りの夢を見せることができる悪魔の実は何でしょう？,ネムネム
ゲームでのみ登場するブリューが食べた、自分の体を小さくすることができる悪魔の実は何の実でしょう？,ミニミニ
ゲーム『アンリミテッドワールド レッド』で登場する、パトリック・レッドフィールドが食べた動物系幻獣種のバットバットの実は何モデルでしょう？,バンパイア
